=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer v2: 677 fixed dims (deskew + zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.9095
  [pw05] gen 800: val_logprob=-0.1243 val_acc=0.9934
  [pw05] gen 1200: val_logprob=-0.0557 val_acc=0.9967
  [pw05] gen 1600: val_logprob=-0.0393 val_acc=0.9989
  [pw05] gen 2000: val_logprob=-0.1274 val_acc=0.9957
  [pw05] gen 2400: val_logprob=-0.1122 val_acc=0.9978
  [pw05] gen 2800: val_logprob=-0.0875 val_acc=0.9978
  [pw06] gen 1: val_logprob=-1.0147 val_acc=0.7524
  [pw06] gen 400: val_logprob=-0.0305 val_acc=0.9959
  [pw06] gen 800: val_logprob=-0.0060 val_acc=0.9990
  [pw06] gen 1200: val_logprob=-0.0234 val_acc=0.9948
  [pw06] gen 1600: val_logprob=-0.0434 val_acc=0.9959
  [pw06] gen 2000: val_logprob=-0.0075 val_acc=0.9979
  [pw06] gen 2400: val_logprob=-0.0113 val_acc=0.9979
  [pw06] gen 2800: val_logprob=-0.0058 val_acc=0.9979
  [pw07] gen 1: val_logprob=-0.9169 val_acc=0.8422
  [pw07] gen 400: val_logprob=-0.0669 val_acc=0.9982
  [pw07] gen 800: val_logprob=-0.0007 val_acc=1.0000
  [pw07] gen 1200: val_logprob=-0.0614 val_acc=0.9990
  [pw07] gen 1600: val_logprob=-0.0556 val_acc=0.9982
  [pw07] gen 2000: val_logprob=-0.0000 val_acc=1.0000
  [pw07] gen 2400: val_logprob=-0.0000 val_acc=1.0000
  [pw07] gen 2800: val_logprob=-0.0000 val_acc=1.0000
  [pw08] gen 1: val_logprob=-0.8602 val_acc=0.8565
  [pw08] gen 400: val_logprob=-0.0183 val_acc=0.9959
  [pw08] gen 800: val_logprob=-0.0810 val_acc=0.9919
  [pw08] gen 1200: val_logprob=-0.0630 val_acc=0.9970
  [pw08] gen 1600: val_logprob=-0.0556 val_acc=0.9970
  [pw08] gen 2000: val_logprob=-0.0585 val_acc=0.9949
  [pw08] gen 2400: val_logprob=-0.0442 val_acc=0.9959
  [pw08] gen 2800: val_logprob=-0.1157 val_acc=0.9970
